TEXT,emoji,class
"Happy Veterans Day! Thank you to everyone who has served! Hooah!(Repost from @user
",🇺🇸,0
"So yesterday #picoftheday #selfie @ New York, New York
",😜,2
"Christmas ready . #christmas2017 #christmaseve @ Annapolis, Maryland
",🎄,1
"My new bae @ Universal Studios Hollywood
",😜,2
"#Iamwithher I just cast my #vote @ Crown Heights, Bklyn
",🇺🇸,0
"Let Freedom Ring!!! USA!! #rydercup2016 #thisbudsforyouUSA #merica @ Hazeltine National Golf…
",🇺🇸,0
"The instructor wanted to take a selfie with us @ Brasada Ranch
",😜,2
"Happy 241st Birthday America!!! #fourthofjuly #America #fireworks #BoomKaBoom @ Springdale,…
",🇺🇸,0
"‘Tis the season for @user #georgetowncupcakes #georgetowncupcake #iphonex @ Georgetown…
",🎄,1
"Getting our Fraser Fir! @ Smoky Mountain Christmas Tree Farm
",🎄,1
"4th of July #red #white #blue #colors #IndependenceDay #UnitedStates #california #usa…
",🇺🇸,0
"Amazing. Nature. Infinity. Jump. Grand Canyon, Arizona, #USA #ARIZONA #GRANDCANYON #CANYON…
",🇺🇸,0
"It's a great day for a new hair cut and to be a Flash @ cutLoose Hair HTX
",😜,2
"Happiest 4th! @ America/Los Angeles
",🇺🇸,0
"Carrowinds Winterfest Christmas Tree Lighting 2017! #carrowinds2017 #christmastree #lighting…
",🎄,1
"Good morning to The Meeting House.***#bostonusa #boston #followingboston #afieldbook…
",🇺🇸,0
"Taking a little time to recharge in the midst of the holiday sessions craziness @ Universal…
",🎄,1
"#NotMyPresident #fucktrump #rallyagainsttrump #NYC #stongertogether @ Trump Towers at 5th Ave
",🇺🇸,0
"Shawty get loooose #rachattemptshiphop #physicalgraffiti #d4reunion #werkshop @ DISC
",😜,2
"Presidential campaign or RA programming ad? #dandridgemcdade2016 …
",🇺🇸,0
"The Zraig Mobile!!!! #WrestleMania #Dallas #chevroletcamaro @ Arlington, Texas
",🇺🇸,0
"I voted for more lattes. #election2016 @ The Gallery Espresso
",🇺🇸,0
"#saarinen #JFK #nyc being a tourist @ John F. Kennedy International Airport
",😜,2
"I smell presents #truemeaningofchristmas .....#christmaseve #canada #selfie…
",🎄,1
"with @user &amp; @user @ Paramount Pictures Studios, Hollywoood
",😜,2
"T-Shirts available... Shop link in bio. #MakeMuricaAmericaAgain #tshirt #graphictees #murica…
",🇺🇸,0
"Slashin' it 2nite in Santa Monica! #ThankGodItsFreeeee makailounge needles drop 9pm…
",😜,2
"# commission 48x72 acrylic &amp; newspaper @ New York, New York
",🇺🇸,0
"lemme tell u bout my best fran @ The Westin Book Cadillac Detroit
",🎄,1
"Decorating our first tree! @ Sunset Park, Brooklyn
",🎄,1
"Happy Holidays with 6 days to Christmas #happyholiday #6daysandcounting #christmastree…
",🎄,1
"Happy birthday to the Marine Corps/ Navy @ The University of Texas at…
",🇺🇸,0
"Had the pleasure of hanging out with this wonderful couple today @user
",🎄,1
"Xmas tree and Toys for tots ! (@ Coldwell Banker Burnet Highland Park in St. Paul, MN)
",🎄,1
"@ Eastrock Soldiers And Sailors Monument
",🇺🇸,0
"Good times and bad decisions @ Bongos Beach Bar &amp; Grille
",😜,2
"#lorenzoserafiniboni #neworleans #secondline #roadtonola @ New Orleans, Louisiana
",🇺🇸,0
"Morning ritual... I sometimes love it, but today, I hate it! #goforthandlive @ Raley's Family…
",😜,2
"Ready, set, RUN! into our shops for last minute gifts today! We’re open 10 - 4pm @ Forbidden…
",🎄,1
"WE WILL BE CLOSED ON THE 4th OF JULY. And it's time for another LAW MMA history lesson!!…
",🇺🇸,0
"Made my rounds after #VX holiday party! Met up with my boo @user for more drinks!!! …
",😜,2
"Today was a good day ... I survived a delicious Christmas Dinner ,…
",😜,2
"Making 2Chainz @user nervous ... Having a great time in Vegas hosting @user be sure to…
",😜,2
"Wrapped in #red @ Maverick
",🎄,1
"Happy Birthdayyyy Biffflee! Looking forward to this weekend @ Club Space Miami
",😜,2
"Best Christmas Present ever. #coffee #keurig #caffeine #coffeetime #coffeelover #coffeeporn @user
",🎄,1
"@ Dave &amp; Buster's
",😜,2
"Half dome #travelphotography #travel #usa #california #yosemite #enjoylife #hodajsamnom @user
",🇺🇸,0
"Oh how I love Christmas! #mostwonderfultimeoftheyear @ CF Markville
",🎄,1
"Just your average running gear shot some b-roll for an upcoming documentary this morning on…
",😜,2
"Life is better with a beech bowl . #lifeisgood #acaibowl #blendersandbowls @ Austin, Texas
",😜,2
"#tbt A few of my littles at rileyjolitter and brewdobb's wedding a couple weeks ago @user
",😜,2
"United we Purge @ Donald J. Trump State Park
",🇺🇸,0
"Perfect @ The Home Depot
",🎄,1
"I loved the Christmas tree @ Johnny's Lashes Studio
",🎄,1
"United States of America 02-November-2017 @ United States
",🇺🇸,0
"Naaaaaaaaaaaaaaah lol not for now
",😜,2
"Merry Christmas Wishing you Love, Light &amp; Oodles of Positive Vibes! #TheEffortlessLife @user
",🎄,1
"I'm proud to be an American, where at least I know I'm free And I won't forget the men who…
",🇺🇸,0
"Merry Christmas &amp; Happy Holidays from all of us at 4 Season's! @ Haddonfield, New Jersey
",🎄,1
"#BreakupPost “Goodbye USA I’ll comeback when you have better…
",🇺🇸,0
"GAME OVER em Fort Lauderdale-Hollywood International Airport
",🇺🇸,0
"| TRADITION |# @ Walnut Room
",🎄,1
"Malik makes my heart melt like a popsicle on the 4th of July @ Murray, Utah
",🇺🇸,0
"It's beginning to look a lot like Christmas #minimalist#xmastree @user
",🎄,1
"Newyork Way @ New York, New York
",🇺🇸,0
"My good friend Jared Lyon from SVA. Go Navy, Beat Army @ U.S.…
",🇺🇸,0
"Campus DJ is coming to Starkville @ HELiX Starkville Student Apartments
",😜,2
"Thank you to all who have served! @ Air Force Academy, Colorado
",🇺🇸,0
"Weed in Review: Friday, December 22, 2017 Congress Extends Federal Medical Cannabis…
",🎄,1
"Trimming the Chades-Chades portly #realtree #amyhappy @ Pembroke…
",🎄,1
"Christmas Eve @ NYC Christmas Tree
",🎄,1
"Adam Vay | Iowa Wildwar bound matte rough style.. Proudly Painted in the USA @ Jason Livery…
",🇺🇸,0
"Merica - Drinking a Too Soon by @user at @user —
",🇺🇸,0
"Happy 4th July. #IndependenceDay @ Alcatraz Island
",🇺🇸,0
"Born in the USA #happy4th @ United States
",🇺🇸,0
"Summer 2016 was a success...Now time for more success @ Roselle, New Jersey
",😜,2
"Nothing more American than beer olympics on a Saturday …
",🇺🇸,0
"Merry Christmas Eve from Jorge &amp; Phab! #merrychristmaseve #christmas2015 # #tbt…
",🎄,1
"Labor Day in big bear! #vacation #merica suns out guns out @ Big…
",🇺🇸,0
"Dynamic duo reunited @ Siena Heights University
",😜,2
"@ East Ridge High School (Minnesota)
",🇺🇸,0
"Garden Of The Gods, Colorado en Garden of the Gods Park
",🇺🇸,0
"22 DAYS UNTIL CHRISTMAS!!! On the 22nd day until Christmas we are hearing from #3 Daniella…
",🎄,1
"#4thofjuly haul... @ The Hayes House
",🇺🇸,0
"#houstonfashionweek #model Walking in heels... I'm a Superhero... @ South Central Houston,…
",😜,2
"Very Newyorker of me eating on Grand Central's stairs (@ Zaro's Bakery in New York, NY)
",😜,2
"#POTUS Keynote #SXSW #SXSWInteractive (@ Long Center in Austin, TX)
",🇺🇸,0
"So Seductive Heading to crossfitdefined For Oly' Competition Training! #surge_integrated…
",😜,2
"Time for #Pilates #SessionPilates #modelpose #matchingpants @ Session pilates
",😜,2
"This isn't my room¿ @ Keuka College
",😜,2
"Our last day in the classroom at University of Nebraska Omaha #YSEALI #CivicEngagement…
",🇺🇸,0
"When yo teacher cancel class @ Wright State University
",😜,2
"Merry Christmas Everybody! Ayy #mtb #bmx #tailwhip #christmas @ Home
",🎄,1
"Erick Lamelas Team Member#SouthCarolina #JuniorTeamTrials @ South Carolina
",🇺🇸,0
"hi tree @ Kimmel Center, New York University
",🎄,1
"Limousine moment with @user foto by @user in #LasVegas #Vip #friends #Holidays…
",🇺🇸,0
"Thank You Veterans! #vets #veteransday #army #navy #airforce #marines #usa @ American…
",🇺🇸,0
"Keeping our eyes on the prize #juniorprom @ Nottingham Park
",😜,2
"They don’t drink Tim Hortons here so tequila in a coffee cup will have to do @ Southern…
",🇺🇸,0
"Spent a lil time grillin' &amp; chillin' with my pops today. Happy 4th of July! @ Alliance, Ohio
",🇺🇸,0
"This makes me so happy #christmas #manhattanbeach @ Manhattan Beach Strand
",🎄,1
"My pre race ""splurge meal"". I could only eat 1/2 . Broccoli, chicken, bacon sriracha Mac n…
",😜,2
"Had fun banging the gavel w/ you all weekend @ United Nations…
",🇺🇸,0
"they hate U.S. 'cause they ain't U.S. @ United States
",🇺🇸,0
"FACT: America is the best country @ Doylestown Central Park
",🇺🇸,0
"Cmon babe, gimme a smooch #NYC @ Dutch Fred's
",😜,2
"It was Labor Day Weekend I was... 27?! #whendidthathappen #ohlawd #riverdays #labordazed # @user
",🇺🇸,0
"""It's the most wonderful time of the year... "" A snapshot of our York headquarters this…
",🎄,1
"A$AP MOB w/ my brothas @ Cain's Ballroom
",😜,2
"#Atomic looking red sky and #fireworks from #Sanford aka #ThePortofSanford or as we like to…
",🇺🇸,0
"Just one of the many #beautiful #christmastrees Linda put up in her home. #colorful…
",🎄,1
"Blushing#blushing#blushing#blushing #tomorethanicanbe #tomorethanicanbe…
",🇺🇸,0
"let's see those votes @ Merica
",🇺🇸,0
"Happy Christmas @ Nassau County, New York
",😜,2
"@ Golden Gate Bridge
",🇺🇸,0
"Last breakfast before I head out @ Tina's Cafe and Catering
",🇺🇸,0
"God Bless America #thuglife @ Los Angeles, California
",🇺🇸,0
"Mandatory photo op with the tree @ Rogers Park, Chicago, Illinois
",🎄,1
"Chilling #hangingout @ Zaxby's
",😜,2
"Thanks for last night @ The Toledo Zoo
",🎄,1
"‘Festi-bull’ of Trees and Lights @ Iowa Events Center
",🎄,1
"College educated, she’s initiated @ Alpha Xi Delta - East Carolina University
",😜,2
"We're open regular hours today and tomorrow, but closed Tuesday! @ Downtown…
",🇺🇸,0
"Back to the gym #NoSleep @ Fitness Evolution
",🇺🇸,0
"G d Morning. #chilled #burbank #california #octaviusjjohnsoninc #octaviusjjohnson…
",🇺🇸,0
"Perfect way to start the holiday!!! @ Douglas Lake
",🇺🇸,0
"#Halloween Gig 2! E-Ticket will be going crazy tonight. I'll be there too I guess Sandy from…
",😜,2
"Early Christmas Gifts Who needs to be filled up ?? #Costco…
",🎄,1
"One last time at #Bucks @ Borrowed Bucks of Sioux Falls
",😜,2
"Happy birthday to my brother who says ""yes"" (under pressure ) when I randomly ask him to ride…
",😜,2
"Merry Christmas from the Christenson’s! . Enjoy your time with family &amp; loved ones.…
",🎄,1
"Nothing says Mexican like doing shots at Toppers Pizza #happybirthday #happy40th #topperspizza…
",😜,2
"Early today enjoying a beautiful day at the lake. So relaxing! #happy4th @ Evans Towne Center…
",🇺🇸,0
"Collecting on our belated birthday dinner from our OC sons! (@ The Crab Cooker in Tustin, CA)
",😜,2
"Are you craving something delicious? your #lunch look like this..! We""ll be waiting for…
",🇺🇸,0
"Peep that patriotic photobomb Spontaneous Sunday spent being tourists in our own city, well…
",🇺🇸,0
"Bad day to be a Canadian #11 @ New Era Field
",🇺🇸,0
"So excited to meet @user tonight! #Carson2016…
",🇺🇸,0
"Sawyer voted; Did you? #ElectionDay2017 #Ohio @ Ashville, Ohio
",🇺🇸,0
"#Pittsburgh #sunset #blackandgold #christmas2017 @ Strip District,…
",🎄,1
"screw you, ameriKKKa @ PIER 39
",🇺🇸,0
"Annual Christmas sweater pic @ Ridgeley, West Virginia
",🎄,1
"Watching ""Shrink,"" a personal fav of Mr. &amp; Mrs. Strange &amp; eating some grub! (@ Philadelphia Gayborhood)
",😜,2
"@ Empire State Building
",🇺🇸,0
"Clip from Lockhart, Texas last year. This park was so rad! Missing that good weather, winter…
",🇺🇸,0
"HollywoodLord #ロサンゼルス #LA #ハリウッド #Hollywood #世界 #これからはグローバル #人生楽しまないと #麻布十番 #麻布… Hollywoodhttps://www.instagram.com/p/BaM-uDZnbvg/
",🇺🇸,0
"#christmas2017 @ Cloverdale, Virginia
",🎄,1
"Happy Holidays #salvationarmy President:bbrandonkohl Vice President:ajmajino #DamnProud @user
",🎄,1
"@ New York, New York
",🇺🇸,0
"The most wonderful time of the year @ Disneyland
",🎄,1
"Waterford Christmas card @ Waterford Landing Luxury Apartments
",🎄,1
"This is what lead us to become and choose a life path of AMERICAN FREEDOM . #americanfreedom…
",🇺🇸,0
"""Make it a December to remember."" - #lexusmarketingteam #nantucket @ Nantucket, Massachusetts
",😜,2
"Happy 4th! @ Spring Hill, Tennessee
",🇺🇸,0
"Keeping it simple with silver and black #Christmas #tree decorations. #christmastree #December…
",🎄,1
"The tree is up!!!! #xmas2016 @ King Manor
",🎄,1
"purchasing first real christmas tree @ Erway's Christmas Tree…
",🎄,1
"Merry Christmas From My Family To Yours. …
",🎄,1
"Happy December 1st!! #flashbackfriday to when the pit members of Grease randomly decorated…
",🎄,1
"Merry Christmas @ Sherwood, Wisconsin
",🎄,1
"The 4th . Wishing you and your family a #happy4thofjuly #america #usa #independenceday…
",🇺🇸,0
"Lucky to call this place home. Happy Birthday, America! #4thofjuly @ Coronado, California
",🇺🇸,0
"Happy Place #magickingdom @ Magic Kingdom at Walt Disney World
",🇺🇸,0
"New kicks @ Reno-Tahoe International Airport
",🇺🇸,0
"Thanks for the great time and ok view @user #gousa …
",🇺🇸,0
"Bahahahaha! The biggest face ever. #crazycat #cattongue #sprowkins #ilovemycat @ Ithaca, New York
",😜,2
"Trading in the flip flops for snow boots for a few days see you mile high aubrydahling…
",😜,2
"Happy Saturday Night everyone... be good. @ North Hollywood, California
",😜,2
"#perfection is #keys and we got EM @ East Side Crazy
",😜,2
"Selfie on Brooklyn Bridge. #botoxiswearingoff @ The Brooklyn…
",😜,2
"See you in 10 weeks. @ Columbus MEPS, 6th BN, US Military…
",🇺🇸,0
"Found little St. Anton in New York #stanton #newyork #evening @ New York, New York
",😜,2
"Thanks for cutting our tree...again #holidaze #tistheseason @ Picea…
",🎄,1
"Tis the season for giving back! Donate toys or clothes at Bourbon…
",🎄,1
"Happy Christmas!! Party on, Marcy @ St. Luke's UMC - Houston
",🎄,1
"Dream team tonight #tobeapartner #trenta #bae #cmns105 #thirsty @ Starbucks Canada
",😜,2
"My favorite place! Always has been, always will be. @ Smith Lake
",🇺🇸,0
"3 hours in. @ Pasadena Courthouse - Los Angeles Superior Court
",🇺🇸,0
"Bag claim LA.. back on us soil . Thankful that both of us were upgraded by American! So…
",🇺🇸,0
"I just voted!#uselections2016 @ Miami-Dade County Elections Department
",🇺🇸,0
"Happy Fourth, everyone! (The campers won) #fourthofjuly @ Portage Lake Bible Camp
",🇺🇸,0
"Holiday card @ Market Square Tower
",🎄,1
"Happy Holidays #Latestoner #MfDoom #HipHop @ 33 Express Way
",🎄,1
":::DONT MISS OUT!!::: Wish America a Happy Birthday! and gear up with Live Free Industries!…
",🇺🇸,0
"An awesome tour after an awesome day!! #nationscapital cintasbiz! @ Washington, District of…
",🇺🇸,0
"Im here reporting on the largest motor cross event in the USA …
",🇺🇸,0
"Clubin' with the mains! @ Wichita, Kansas
",😜,2
"O’er the land of the free and the home of the brave! #Happy4thofJuly (@ Lake Worth Beach in Lake Worth, FL)
",🇺🇸,0
"#NewYork @ New York, New York
",🎄,1
"Happy Fourth of July Free brownie pop from the MK tunnel to help me through my nasty shift…
",🇺🇸,0
"Happy Friday friends and family! On our way to our office to get it in! #LoveAndBusiness…
",😜,2
"These guys! With Andy, thewhittlewagon, who downsized from a 24' #tinyhouse to a 16' micro,…
",😜,2
"@ The Capitol, Washington D.C.
",🇺🇸,0
"Ready for a night out on the town...#NYC @ The-Manhattan-Club
",🇺🇸,0
"'Tis the season for visits from really cute cousins @ Emmett Township, St. Clair County, Michigan
",🎄,1
"US Election Night #election2016 #uselection #electionnight…
",🇺🇸,0
"What a week. What a year. Tonight I’m taking the time to clean, cook and relax before I head…
",🎄,1
"Sorry Santa, naughty just feels so nice @ North Pole Express
",🎄,1
"'Tis the season @ Kansas City, Missouri
",🎄,1
"WE WILL BE CLOSED ON THE 4th OF JULY. And it's time for another LAW MMA history lesson!!…
",🇺🇸,0
"#MontfordPlayers at the Dickens Christmas Festival in #BiltmoreVillage @ Biltmore Village
",🎄,1
"Dorito hands. I think I have a problem Also, Buster is staring longingly at the bag of Doritos…
",😜,2
"Honor and Respect @ Arlington National Cemetery Washington Dc
",🇺🇸,0
"New York New York #newyork #usa #newyorkcity #thebigapple #StatueofLiberty #sunday #sunny…
",🇺🇸,0
"@user It is thirsty Thursday isn't it?!? love you too!!!
",😜,2
"TOMORROW, Tuesday, October 11th, Mariachi for Democracy is happening at @user
",🇺🇸,0
"Happy 4th of July everyone! Have fun and stay safe! #tasteofthepinnacles #top #4thofjuly @user
",🇺🇸,0
"TONIGHT@CIROC COLADA PRESENTS THE BIGGESTRED, WHITE,BLUE #DAYPARTY &amp; #COOKOUT Hosted By…
",🇺🇸,0
"Anyone else started decorating for Christmas? We are! The display windows will be decked out…
",🎄,1
"JUST IN FisherPrice Push Toy $14.99 @ Baby's Babble
",🎄,1
"Xmas in RVA (@ The @user in Richmond, VA)
",🎄,1
"I'm bigger than life, my name in the lights. I'm the number one chick. Don't need no hype @user
",😜,2
"Working on a new face mask and looking awkward in this photo #meshiiskin ..#clt #bob…
",😜,2
"O thickest tree, O thickest tree @ Rue21 Inc
",🎄,1
"Batgirl helping me bake Christmas cupcakes! @ Montrose, Houston
",🎄,1
"About last night! #SundayFunDay @ CITYCENTREHOUSTON
",😜,2
"happy america day @ United States
",🇺🇸,0
"Halloween is a time when you unleash your inner beast #halloween…
",🇺🇸,0
"TRADITION! Missing-Bronson-Hilary-Corbin Santa asked about each child by name. We have been…
",🎄,1
"Christmas Eve!!! Woo!!! @ Kimpton Hotel Monaco Washington DC
",🎄,1
"We do it for the children because every child deserves a chance to play games! #UTD #StJude #SigEP…
",😜,2
"I mean why not post another one @ Temple Square
",😜,2
"The best god damn country @ Twin Rinks Ice Pavilion, Inc.
",🇺🇸,0
"OLF 2017 Christmas Program. Great job Amario!#7thgrader #olf2017 @user
",🎄,1
"Our tree from golf course. #christmastree @ Valdosta Country Club
",🎄,1
"Back when Bell and I were ugly @ Anaheim, California
",😜,2
"3 DAYS UNTIL CHRISTMAS!! on the 3rd day until Christmas we will be hearing from #21 Meagan…
",🎄,1
"When you want to go riding but are allergic to EVERYTHING!!! @ Solvang, California
",😜,2
"in honor of my awesome mom who just made an insta snhsmom making you proud every day xoxoxo ily…
",😜,2
"Reposting cuz litmas @ Arlington Cottages and Townhomes
",🎄,1
"Gratitude #mdw2016 #may #spring #bostoncommons #boston #memorialday #gratitude #thankful @user
",🇺🇸,0
"Happy 4th of July! @ Pickerington, Ohio
",🇺🇸,0
"“The best way to spread Christmas cheer is to singing *playing* loud for all to hear.” Wise…
",🎄,1
"A little Tuesday #ShoePorn for you It's f***in cold but #TheErrandGirls stick to our style. We…
",😜,2
"#arizonacardinals vs #sanfrancisco49ers beat the damn 49ers @user
",😜,2
"en Fairfield County, Connecticut
",🎄,1
"And then there were snow cones!! @ OBA Tropical Sno
",😜,2
"Mission accomplished #election2016 @ Deerfield Run Elementary School PTO Inc.
",🇺🇸,0
"Thanks to some awesome suggestions, I decided to dress up my #eiffeltower for #christmas …
",🎄,1
"@user @user @user @user Non travelers get no say
",😜,2
"Creepy?¿ @ Brevard College
",🇺🇸,0
"Finishing up this sweet size 4 apron to ship with two matching adult aprons Merry Christmas …
",🎄,1
"15 years ago the South Tower stood here. #WTC @ Ground Zero
",🇺🇸,0
"You're a hard act to follow. @ New York, New York
",🇺🇸,0
"Christmas time is here! #christmas #christmastree #nutcracker @ Van…
",🎄,1
"Introducing piece #3 of my Disney Design Series: The Nightmare Before Christmas! Jack had a…
",🎄,1
"Making this Christmas a-door-able @ Henley Hall, Chapman University
",🎄,1
"@user Pretty sure it's at least 5 shots per.
",😜,2
"Gasparillaaa @ University of South Florida
",😜,2
"Happy Belsnickel from your JJL girls #impish #admirable @ First Tennessee Plaza
",🎄,1
"Solei and Sydney with Santa @ Aquaviva Winery
",🎄,1
"Our Angel Tree is up at Ladies Fitness! Through all of the hustle and bustle of the Holiday's…
",🎄,1
"Keeping it simple...cause brunch is coming after! #breakfast #toast #creamcheese…
",😜,2
"lloyd family christmas card @ Fox Hills Golf &amp; Banquet Center
",🎄,1
"#chillaxinchristmasyogis Day 1 Hero pose • This pose hurts my knees so I took this comfy…
",🎄,1
"#mckconvo is commencing. Where are you? @ Prestonwood Baptist Church
",😜,2
"Santa left a little present for you under the @user Grab your #tradein and go make the…
",🎄,1
"Tis' the season @ Mountain View MX Park
",🎄,1
"Happy independent Day !!!!! @ Doral, Florida
",🇺🇸,0
"Yay!! I was so excited to get the mail tonight... because there was a package from my Secret…
",😜,2
"Homecoming parade in #manitousprings :) ilovemanitou #smalltownusa @ Historic Downtown…
",🇺🇸,0
"The White House @ The White House
",🇺🇸,0
"Merry Christmas from Tucker and I &amp; Roll Tide! @ Isles of Lake Hancock Winter Garden
",🎄,1
"Decorations for your Christmas tree @user @ Hester Street Fair
",🎄,1
"See the cubby sign.Obey the cubby sign.Live the cubby sign message. @ Franklin, Tennessee
",😜,2
"Yep, this is the one #jk #tistheseason #happyholidays @ Greene Pine Farm
",🎄,1
"Texas Sunrise! 4:56 am #McAllen #Texas #USA #America #Sunrise #Car #speed…
",🇺🇸,0
"@ Harrisburg Fourth Of July Parade and Celebration
",🇺🇸,0
"After 6 years, 5 different colleges, and 2 bouts of lymphoma, I am done with that B.S. It’s…
",😜,2
"A photo from the gig on Christmas Eve @user Looking forward to coming back to sing…
",🎄,1
"Photos booths are great... but not meant for someone 6'9"" . Sam got cut off in most of them…
",😜,2
"Don't Take Care he Tweets To Serious I Keep My Tl Lit ....
",😜,2
"Not to bad super healthy carrot Appel banana muffins #thanksgivingweekend #yogaeverywhere…
",😜,2
"Just a fun weekend with Bae @ Connecticut Turnpike I95
",😜,2
"Ginger spiced scones @ LIT Espresso Bar
",🎄,1
"Already missing it @ Central Park
",🇺🇸,0
"""You're just everywhere, 'my deer' . I've been lucky enough to stumble upon so many beautiful…
",😜,2
"Buying chicharon! (@ Original Lapid Filipino Cuisine in Bellflower, Calif)
",😜,2
"HAPPY FLAG DAY - #usa #flagday2016 #smallbusiness..... Our business has withstood the test of…
",🇺🇸,0
"I'm so silly @user #praisetemple @user @ Praise Temple Full Gospel Baptist…
",😜,2
"happy holla days @ Nemacolin Woodlands Resort
",🎄,1
"Land of the brave #merica @ Lawn At Castle Hill
",🇺🇸,0
"Happy 4th of July! (@ Ken &amp; Dave's Bucs Oasis in Tampa, FL)
",🇺🇸,0
"Oh look, it's JFK Waited six months for tickets to this museum and it did not disappoint @user
",🇺🇸,0
"#netflixandchill with the little man. #teamtitus #fourthofjuly @ Elizabethton, Tennessee
",🇺🇸,0
"Did my civic duty! Local elections matter, too! #vote @ Charlotte, North Carolina
",🇺🇸,0
"I'm doing it for my city @ Lowell, Massachusetts
",🎄,1
"2015 @ City of Weston, FL
",🎄,1
"Playing @ Antique Garage SOHO 7-10pm tonight. Happy Holidays !!#happyholidays #jazzpianist…
",🎄,1
"#SquishTheFish @ Ralph Wilson Stadium
",🇺🇸,0
"I like to impersonate statues #lacma #California #neverwannaleave #losangeles #soinlove…
",😜,2
"yerrr Merry Chrysler (these are completely off guard, i didn’t…
",🎄,1
"In remembrance. #september11 #rip #heroes #honor #9112001 #mom…
",🇺🇸,0
"Our beautiful Capitol ..#washingtondc #dc #capitol #capitolhill #washington_ig #night…
",🇺🇸,0
"@ Brooklyn, New York
",🇺🇸,0
"hey MTV, welcome to my crib(s) @ Carlsbad, California
",😜,2
"Local flavor #keepinit99.9 @ Chic-A-Loes
",😜,2
"All I want for my birthday is a #christmastree @ Calareso's Farm…
",🎄,1
"Missing this little cutie and touring the Capitol with our uber driver I hope my child has…
",😜,2
"Love my socks! #xmasmorning #xmasday @ Pod 51 Hotel
",🎄,1
"@user #vanillaporter #porter #beer #christmas # @ Land o' Lakes, Florida
",🎄,1
"Merry Christmas to our super fan who’s holding down the Mother’s seats at Fed Ex Field today!…
",🎄,1
"Only woke up from the food coma for the 3 rounds of dessert @user
",🎄,1
"Happy Independence Day weekend, everyone! We love being able to take a boat ride over to the…
",🇺🇸,0
"dorm goals @ Millersville University
",🎄,1
"#neverforget 9/11 @ Massachusetts
",🇺🇸,0
"Celebrating America low country style @ River House Seafood
",🇺🇸,0
"Once again (@ Washington Dulles International Airport - @user in Dulles, VA)
",🇺🇸,0
"A #funnier #Easter #tradition @ Smith Lake
",😜,2
"Happy 4th of July Eve #lakewylie #relaxing #lakegirl @ Lake Wylie
",🇺🇸,0
